WesternProvince,CentralProvince,SouthernProvince,SabaragamuwaProvince,EasternProvince,NothernProvince,NothernWesternProvince,NorthCentralProvince,UvaProvince
 Ambegoda,Alwatta,Egodaduwa,Ambalanpitiya,Tampalakamam,Elephant Pass,Ichchankadu,Kekirawa, Amunumulla
 Ambepitiya,Ambadeniya,Egodagoda,Ambalanyaya,Thampalawattai,Inuvil,Ichchankaudu,Labunoruwa, Amunumulla
 Ambepussa,Ambagahahena,Egodamulla,Ambamalla,Thandiyadi,Ilavali,Jagama,Lenagama, Anda Ulpota
 Ambepussa Government Farm,Ambagamuwa,Egodawela,Ambanpitiya,Thannamunai,Iranamadu,Jahapagama,Lewapanikkiyawa, Andampohuwa
 Ambulgama,Ambagaspitiya,Ehelakanda,Ambatenna,Tannipalai,Jaffna,Jakaduwa,Lindawewa, Andanpahura
 Ampitigala,Ambagastenna,Ehelape,Ambawala,Tembichchiya,Kaathaliyaar Chamalang kulam,Jalatgama,Lokahettiyagama, Andaulpotagama
 Amunugoda,Ambakumbura,Ehelapola,Ambepussa,Thennamaravadi,Kaaraiththoor,Jankurawela,Madagallegama, Andawalagama
 Amunukumbura,Ambalapitiya,Ehelepola,Ambulugala,Tettativu,Kanchanthoo,Jankure,Madatugama, Andawalayaya
 Andiambalam Walpola,Ambale,Ekkassa,Ambuwakka,Thalayadimadu,Kachchai,Jayalatgama,Madatungama, Andawelagama
 Andiambalama,Ambaliyadda,Elagamuwa,Ambuwangala,Thaddumunai,Kaithady,Jayalathgama,Madawachchiya, Andawelayaya
 Andigoda,Ambanella,Elpitiya,Amitirigala,Thiaveddavan,Kalladi,Jayarajapuraya,Madawala, Andeniya
 Andimalla,Ambanpola,Fort,Ammuduwa,Thikkodai,Kantharmadam,Jayasirigama,Nabadagaswewa, Andiawela
 Andimulla,Ambanwala,Gabadaweediya,Ampagala,Thikkoddaimunmari,Kantharodai,Jayasundaragedara,Nabadawewa, Angoda
 Andiya,Ambaoruwa,Gabadawidiya,Ampana,Thimilatheevu,Kankesanthurai,Jayasurigama,Nachchaduwa, Angunakolapelessa
 Andupe,Ambatalawa,Gajanayakagama,Ampe,Thiraymadu,Kanakarayankulam,Kaaradumunai,Nachchaduwa Palayakulama, Ankada
 Angampitiya,Ambatenna,Galagama,Amuhenkanda,Thirukkovil,Kapputhoor Veli,Kabalewa,Nagadaranewa, Aralupitiya
 Angangoda,Ambawa,Galagammana,Amunumulla,Thirukkaikuda,Karainagar,Kachchakaduwa,Obadayagama, Aralutalawa
 Anganpitiya,Ambawela,Galagammulla,Amunutenna,Thuraineelavanai,Karaveddy,Kachcheri,Ohomigama, Araluwinna
 Angoda,Ambetenna,Galahitiya,Amupitiya,Thukkuvittan,Karampanthoor,Kachchimadurankuli,Olobbawa, Aratumedilla
